name,osmid,highway,oneway,length,bridge,geometry,maxspeed,lanes,ref,junction,tunnel,access,u,v,key,list?,detid
Rietdijk,7515668,residential,False,71.209,,"LINESTRING (4.4638681 51.8930812, 4.4638212 51.8930989, 4.4637983 51.8931088, 4.4637539 51.8931207, 4.4637113 51.8931291, 4.46371 51.8931293, 4.4632102 51.8931601, 4.4628631 51.8932142)",50,,,,,,44276346,4237350568,0,False,
Assendelftstraat,7319874,residential,False,15.379,,"LINESTRING (4.5084642 51.9219807, 4.508253 51.9220272)",,,,,,,44407421,44407418,0,False,
Assendelftstraat,"[7319820, 7319821]",residential,False,122.512,,"LINESTRING (4.5084642 51.9219807, 4.5081973 51.9215262, 4.5079885 51.9215751, 4.508253 51.9220272)",,,,,,,44407421,44407418,1,False,
Assendelftstraat,7319875,residential,False,17.613,,"LINESTRING (4.5084642 51.9219807, 4.5086556 51.9219405, 4.5087069 51.9219289)",,,,,,,44407421,44407029,0,False,
Polanenstraat,7319878,residential,False,13.01,,"LINESTRING (4.5111424 51.9219951, 4.5113087 51.9219388)",,,,,,,44407422,44407031,0,False,
Voorschoterlaan,7320126,residential,True,65.315,,"LINESTRING (4.5111424 51.9219951, 4.5107776 51.9214525)",,,,,,,44407422,44404579,0,False,
Kapelstraat,7515308,residential,False,72.494,,"LINESTRING (4.4588012 51.9051131, 4.4583516 51.9057031)",30,,,,,,611277437,44331543,0,False,
Westzeedijk,48411562,residential,True,161.71,,"LINESTRING (4.4588012 51.9051131, 4.4566693 51.9044927)",30,,,,,,611277437,614885048,0,False,
Slotstraat,7319880,residential,True,86.961,,"LINESTRING (4.513669 51.9219819, 4.5148643 51.9217208)",,,,,,,44407425,44406034,0,False,
Slotstraat,7319953,residential,True,64.34,,"LINESTRING (4.513669 51.9219819, 4.5128 51.9222)",30,,,,,,44407425,44408306,0,False,
Waterloostraat,621814891,residential,True,104.262,,"LINESTRING (4.513669 51.9219819, 4.514234 51.9228524)",,,,,,,44407425,44411347,0,False,
Bas Jungeriusstraat,7514583,residential,False,100.599,,"LINESTRING (4.4766765 51.8931046, 4.4780307 51.8927581)",30,2,,,,,44276354,44274750,0,False,
Brielselaan,"[7514224, 747911169]",residential,True,322.34,,"LINESTRING (4.4766765 51.8931046, 4.4769254 51.8932444, 4.4769659 51.8932579, 4.4780106 51.8934822, 4.4797477 51.8938505, 4.4808591 51.8940858, 4.4810454 51.8941252)",30,,,,,,44276354,44281142,0,False,
,"[145973963, 126710380]",motorway_link,True,383.33,,"LINESTRING (4.4334791 51.9291116, 4.4347585 51.9295337, 4.4366758 51.9302841, 4.4370841 51.9304148, 4.4373493 51.930491, 4.4376071 51.9305427, 4.437963 51.9306066, 4.4381166 51.9306336, 4.4384233 51.930677)",80,"['2', '1']",,,,,44440194,44451052,0,False,
,"[126729960, 491000660]",motorway,True,248.774,,"LINESTRING (4.4334791 51.9291116, 4.4340084 51.9293318, 4.4364868 51.9303629)",80,3,A20,,,,44440194,44449398,0,False,
Tarwestraat,7514430,residential,True,43.818,,"LINESTRING (4.4854638 51.8930516, 4.4854268 51.8930488, 4.4853865 51.893042, 4.4848832 51.8928912)",30,1,,,,,44276356,44275250,0,False,
Westzeedijk,"[48089648, 48411562]",residential,True,95.24000000000001,,"LINESTRING (4.4600304 51.9054405, 4.4598146 51.9054703, 4.4588012 51.9051131)",30,,,,,,611277444,611277437,0,False,
Westzeedijk,141883035,secondary,True,376.666,,"LINESTRING (4.4600304 51.9054405, 4.4598518 51.9053783, 4.4588746 51.9050314, 4.4579173 51.9047455, 4.45673 51.9044072, 4.4559255 51.9042164, 4.4550366 51.9040593)",50,,S114,,,,611277444,614885041,0,False,
