name,osmid,highway,oneway,length,bridge,geometry,maxspeed,lanes,ref,junction,tunnel,access,u,v,key,list?,detid
's-Gravenweg,"[311806104, 311806106, 321898179]",residential,False,88.31100000000002,yes,"LINESTRING (4.5245155 51.9239184, 4.5241229 51.9233084, 4.5240901 51.9232597, 4.5240685 51.9232275, 4.5240493 51.923186, 4.5240462 51.9231791)",,,,,,,44417024,771255062,0,False,
Frans Bekkerstraat,7514536,residential,False,61.119,,"LINESTRING (4.4652729 51.8918, 4.466131 51.8916528)",,,,,,,44269570,44269098,0,False,
Frans Bekkerstraat,7515679,residential,False,76.83500000000001,,"LINESTRING (4.4652729 51.8918, 4.4649647 51.8921805, 4.4648433 51.8923197, 4.4647917 51.8924224)",50,,,,,,44269570,963879003,0,False,
Verboomstraat,"[7515714, 7515628]",residential,False,145.552,,"LINESTRING (4.4652729 51.8918, 4.465284 51.8917721, 4.4652824 51.8917403, 4.4648968 51.891141, 4.4645496 51.8905767)",50,,,,,,44269570,44262667,0,False,
Schultz van Hagenstraat,7319072,residential,False,48.438,,"LINESTRING (4.5287224 51.9238489, 4.5284833 51.923439)",,,,,,,44417028,44412933,0,False,
Schultz van Hagenstraat,7319187,residential,True,80.374,,"LINESTRING (4.5287224 51.9238489, 4.5287822 51.9238522, 4.5288107 51.9238615, 4.5288392 51.9238814, 4.5289007 51.9239408, 4.529016 51.9241324, 4.5291754 51.9243962, 4.529179 51.9244184, 4.5291578 51.9244443, 4.5291243 51.9244683)",,,,,,,44417028,5491722743,0,False,
Klompéstraat,7315248,residential,False,10.742,,"LINESTRING (4.5556021 51.9333261, 4.5555627 51.9334196)",30,,,,,,44466181,44466819,0,False,
Rietkerkweg,7311425,residential,True,108.209,,"LINESTRING (4.5556021 51.9333261, 4.5563447 51.9334468, 4.5571283 51.9335741)",30,,,,,,44466181,1115362413,0,False,
Lichtenauerlaan,7316063,unclassified,True,25.683,,"LINESTRING (4.5344648 51.9238906, 4.534311 51.92368)",50,,,,,,44417032,44416103,0,False,
Boergoensestraat,7514485,residential,True,102.414,,"LINESTRING (4.4703381 51.8917898, 4.4702805 51.8917386, 4.4695891 51.8911478, 4.4694658 51.8910425)",30,,,,,,44269577,44265873,0,False,
Bergweg,102491180,tertiary,True,23.009999999999998,,"LINESTRING (4.4795161 51.9389602, 4.4795269 51.939004, 4.4795523 51.9390995, 4.4795449 51.9391652)",,,,,,,6490718219,2736346238,0,False,
Bergweg,691653350,tertiary,False,54.730999999999995,,"LINESTRING (4.4795161 51.9389602, 4.4795698 51.9387041, 4.4796226 51.9384724)",,,,,,,6490718219,6486269733,0,False,
,7315057,residential,False,35.377,,"LINESTRING (4.5525434 51.9238523, 4.5530479 51.9237858)",,,,,,,44417036,44416562,0,False,
"['Martinus Burkensstraat', 'Pieter van der Wallenstraat']","[7315045, 7314958]",residential,False,127.547,,"LINESTRING (4.5525434 51.9238523, 4.5526111 51.9240735, 4.5528185 51.9246082, 4.5528332 51.9246254, 4.5528495 51.9246376, 4.5528724 51.9246499, 4.5529025 51.9246562, 4.5533775 51.924714)",,,,,,,44417036,44421114,0,True,
Martinus Burkensstraat,7315045,residential,False,100.227,,"LINESTRING (4.5525434 51.9238523, 4.5523947 51.9234268, 4.5522279 51.9229722)",,,,,,,44417036,44412361,0,False,
Boelstraat,7514267,residential,True,70.394,,"LINESTRING (4.4881871 51.8917165, 4.4886151 51.8916229, 4.4889697 51.8915364, 4.4891501 51.8914988)",30,1,,,,,44269585,44268087,0,False,
"['Bonaventurastraat', 'Maasdamstraat']","[7514456, 7514457, 7514407]",residential,True,205.778,,"LINESTRING (4.4881871 51.8917165, 4.4882215 51.8917763, 4.4883271 51.8919025, 4.4884525 51.8920472, 4.4885383 51.8921326, 4.4888737 51.8924372, 4.4893508 51.8928586, 4.489374 51.892868, 4.4894062 51.8928733, 4.4894447 51.8928731, 4.4896657 51.8928074, 4.4899293 51.8927276, 4.490082 51.8926832)",30,1,,,,,44269585,44274230,0,True,
Zwart Janstraat,7522523,residential,False,137.215,,"LINESTRING (4.4749606 51.9342864, 4.4767847 51.9337786)",30,,,,,,5995593745,44468371,0,False,
Zwart Janstraat,635663928,residential,True,20.986,,"LINESTRING (4.4749606 51.9342864, 4.4749135 51.9343142, 4.474863 51.9343472, 4.4748166 51.9343699, 4.4747292 51.9344091)",30,,,,,,5995593745,2725777368,0,False,
Bergweg,"[562991312, 691267088]",tertiary,True,28.027,,"LINESTRING (4.4745512 51.9343605, 4.4744835 51.9343202, 4.4743669 51.9342509, 4.4742743 51.934176)",50,1,,,,,5995593749,6486337129,0,False,
Rodenrijselaan,635663938,tertiary,True,4.871,,"LINESTRING (4.4745512 51.9343605, 4.4746007 51.9343474, 4.4746164 51.9343431)",,,,,,,5995593749,5995593750,0,False,
Bergweg,635663947,tertiary,True,10.661,,"LINESTRING (4.4746164 51.9343431, 4.4747292 51.9344091)",50,1,,,,,5995593750,2725777368,0,False,
Zwart Janstraat,635663942,residential,True,24.442999999999998,,"LINESTRING (4.4746164 51.9343431, 4.4746589 51.9343357, 4.4746995 51.934328, 4.4747437 51.9343187, 4.4748026 51.9343087, 4.4749606 51.9342864)",30,,,,,,5995593750,5995593745,0,False,
Resedastraat,7513255,residential,False,45.729,,"LINESTRING (4.496223 51.8918082, 4.4957191 51.8920773)",30,,,,,,44269591,44271049,0,False,
Resedastraat,7513255,residential,False,45.28,,"LINESTRING (4.496223 51.8918082, 4.4967273 51.8915456)",30,,,,,,44269591,44268542,0,False,
Wodanstraat,536087229,residential,False,13.581,,"LINESTRING (4.4830788 51.8993882, 4.4830086 51.8995024)",30,2,,,,,469942296,1412477062,0,False,
Wodanstraat,127667768,residential,False,61.18,,"LINESTRING (4.4830788 51.8993882, 4.483121 51.8993137, 4.483373 51.8988688)",30,2,,,,,469942296,469942299,0,False,
Walhallalaan,"[474138113, 88602056, 39228267, 474138927, 7514360]",residential,False,422.8339999999999,,"LINESTRING (4.4830788 51.8993882, 4.4829598 51.8993683, 4.4827213 51.8993194, 4.4824207 51.8992578, 4.4816361 51.8990898, 4.4816055 51.8990833, 4.4812794 51.8990139, 4.481243 51.8990061, 4.4811671 51.8989903, 4.4810077 51.8989572, 4.4797675 51.8986996, 4.4795129 51.8986485, 4.4793145 51.8986094, 4.4789779 51.8985347, 4.4782239 51.8983673, 4.4780476 51.8983307, 4.4776143 51.8982414, 4.4774736 51.8982117, 4.4772448 51.8981642)",30,2,,,,,469942296,44299836,0,False,
Wodanstraat,127667768,residential,False,61.18,,"LINESTRING (4.483373 51.8988688, 4.483121 51.8993137, 4.4830788 51.8993882)",30,2,,,,,469942299,469942296,0,False,
"['Maashavenkade', '3e Katendrechtsehoofd']","[474138108, 151116052]",residential,False,558.841,,"LINESTRING (4.483373 51.8988688, 4.4821699 51.8986136, 4.4815539 51.8984847, 4.4801101 51.8981778, 4.4796192 51.8980732, 4.4780958 51.8977574, 4.4771403 51.8975547, 4.4765953 51.897439, 4.4765703 51.8974405, 4.4758321 51.8976096, 4.4757063 51.8976795)",30,2,,,,,469942299,1639576175,0,True,
"['Maashavenkade', 'Maashaven Noordzijde']","[142612580, 536087228, 536083494]",residential,False,158.98000000000002,,"LINESTRING (4.483373 51.8988688, 4.4835175 51.8988985, 4.483781 51.8989527, 4.4847065 51.8991431, 4.4851203 51.8992283, 4.4851598 51.8992408, 4.485319 51.8993062, 4.4855281 51.8993783)",30,2,,,,,469942299,981408327,0,True,
Lange Hilleweg,7513550,residential,True,115.665,,"LINESTRING (4.4989805 51.8917168, 4.4985903 51.8914937, 4.4977216 51.8910253)",50,,,,,,44269597,587914104,0,False,
Develstraat,7513244,residential,True,46.682,,"LINESTRING (4.5019404 51.8917448, 4.50245 51.8920229)",30,,,,,,44269600,44271057,0,False,
Oudelandstraat,628773265,residential,True,43.626,,"LINESTRING (4.5019404 51.8917448, 4.5015178 51.8920379)",30,,,,,,44269600,44271056,0,False,
Meerdervoortstraat,7329151,residential,True,37.61,,"LINESTRING (4.5080452 51.8917318, 4.508092 51.8917093, 4.5085638 51.8916306)",30,,,,,,44269602,44268546,0,False,
Meerdervoortstraat,7329357,residential,True,98.01599999999999,,"LINESTRING (4.5080452 51.8917318, 4.5074416 51.8921507, 4.5071114 51.8923986)",30,,,,,,44269602,44273058,0,False,
Hontenissestraat,518812383,residential,False,61.141000000000005,,"LINESTRING (4.4635937 51.8721744, 4.4636576 51.8724078, 4.46375 51.8727157)",,,,,,,6436306985,44173649,0,False,
Stadionlaan,7326558,residential,False,30.763,,"LINESTRING (4.5310768 51.8917864, 4.5312902 51.8915431)",,,,,,,44269611,44268560,0,False,
Stadionlaan,7326558,residential,False,76.63499999999999,,"LINESTRING (4.5310768 51.8917864, 4.5308797 51.8920172, 4.5306258 51.8923069, 4.5305898 51.8923364, 4.53056 51.892364, 4.5305464 51.8923916)",,,,,,,44269611,44272579,0,False,
Discusstraat,7328013,residential,False,122.09299999999999,,"LINESTRING (4.5310768 51.8917864, 4.5318467 51.8920288, 4.5322607 51.8921589, 4.5326549 51.8922932)",,,,,,,44269611,44272109,0,False,
Estafettestraat,7328157,residential,False,17.414,,"LINESTRING (4.5329427 51.8917938, 4.5331659 51.8918683)",,,,,,,44269612,44270057,0,False,
Boogschutterstraat,7326609,residential,False,138.023,,"LINESTRING (4.5329427 51.8917938, 4.5330687 51.891535, 4.5316763 51.8910828)",,,,,,,44269612,44265913,0,False,
Estafettestraat,7328073,residential,False,113.457,,"LINESTRING (4.5329427 51.8917938, 4.5322113 51.8915524, 4.5314849 51.8913125)",,,,,,,44269612,44267569,0,False,
Jean de Meijstraat,7328132,residential,False,68.22,,"LINESTRING (4.5362589 51.8917925, 4.5352937 51.8919394)",,,,,,,44269615,44270542,0,False,
Van Hardenbroekstraat,7328025,residential,False,112.99799999999999,,"LINESTRING (4.5362589 51.8917925, 4.5364282 51.8922013, 4.5365528 51.8925771, 4.5365959 51.8927861)",,,,,,,44269615,44275070,0,False,
"['Hingmanstraat', 'Van Hardenbroekstraat']","[7328187, 7328071, 7328143]",residential,False,203.199,,"LINESTRING (4.5362589 51.8917925, 4.5362 51.8916376, 4.5362339 51.8916015, 4.5365103 51.8915579, 4.5367272 51.891527, 4.5367876 51.8915515, 4.5370376 51.8921924, 4.537175 51.8925497, 4.5372102 51.8927908)",,,,,,,44269615,44274780,0,True,
Bunschotenweg,7518940,tertiary,False,64.098,,"LINESTRING (4.4255924 51.8857757, 4.425462 51.885799, 4.4250751 51.8858886, 4.4247134 51.8859699)",,,,,,,44236848,44238058,0,False,
Bunschotenweg,156558724,tertiary,True,21.852,,"LINESTRING (4.4255924 51.8857757, 4.4256659 51.8857532, 4.4257171 51.8857423, 4.4257921 51.8857287, 4.4258479 51.8857246, 4.4258957 51.8857238)",,,,,,,44236848,5383778593,0,False,
Buitendijk,"[426561531, 689456390]",unclassified,False,48.056,,"LINESTRING (4.5292737 51.8870508, 4.5292775 51.8871964, 4.5293251 51.8873609, 4.5293769 51.887476)",,,,,,,4258480175,44246981,0,False,
Buitendijk,"[426618514, 426561532]",unclassified,True,21.265,,"LINESTRING (4.5292737 51.8870508, 4.5292463 51.8869476, 4.5292317 51.8868614)",,,,,,,4258480175,44243255,0,False,
Burgemeester Molenaarstraat,7327299,residential,False,22.892,,"LINESTRING (4.5513656 51.8918343, 4.5514239 51.892037)",,,,,,,44269618,44270549,0,False,
Burgemeester Molenaarstraat,7327299,residential,False,45.457,,"LINESTRING (4.5513656 51.8918343, 4.5512497 51.8914318)",,,,,,,44269618,44267581,0,False,
Taselaarstraat,"[7327356, 7327295]",residential,False,172.20799999999997,,"LINESTRING (4.5513656 51.8918343, 4.5522891 51.8917144, 4.5521681 51.891331, 4.5512497 51.8914318)",,,,,,,44269618,44267581,1,False,
,426561317,secondary,True,7.989,,"LINESTRING (4.5293481 51.8868607, 4.5292317 51.8868614)",,,S105,roundabout,,,4258480177,44243255,0,False,
Buitendijk,"[7330146, 426561530]",unclassified,True,21.861,,"LINESTRING (4.5293481 51.8868607, 4.5293287 51.8869509, 4.5293144 51.8869834, 4.5292737 51.8870508)",,,,,,,4258480177,4258480175,0,False,
Gordelweg,"[42702466, 42702467, 42702468]",secondary,True,350.972,,"LINESTRING (4.464572 51.9380078, 4.4645163 51.9379858, 4.4643651 51.9379273, 4.4642121 51.9378705, 4.4639193 51.9377616, 4.4626504 51.9372883, 4.4620767 51.9370751, 4.4608442 51.9366152, 4.4601965 51.9363691)",50,1,,,yes,,533987385,1434991563,0,False,
Gordelweg,"[42702373, 725115014]",secondary,True,45.098,,"LINESTRING (4.464572 51.9380078, 4.4644896 51.9380148, 4.4643717 51.9379782, 4.4642529 51.9379427, 4.46401 51.9378762, 4.4639702 51.9378634)",50,1,,,,,533987385,6797159111,0,False,
Bakkerstraat,7516794,residential,False,57.14,,"LINESTRING (4.4623937 51.8857447, 4.4615887 51.8858758)",,,,,,,44236860,44237462,0,False,
Bakkerstraat,7516794,residential,False,64.359,,"LINESTRING (4.4623937 51.8857447, 4.4632986 51.8855929)",,,,,,,44236860,2842358698,0,False,
Nieuwenhoornstraat,404747836,residential,False,51.04,,"LINESTRING (4.4623937 51.8857447, 4.4621602 51.8853089)",,,,,,,44236860,44234780,0,False,
Nieuwenhoornstraat,7516806,residential,False,57.144999999999996,,"LINESTRING (4.4623937 51.8857447, 4.4625632 51.8861583, 4.4626028 51.8862421)",,,,,,,44236860,5302973193,0,False,
Van Goijenstraat,459638707,residential,False,9.573,,"LINESTRING (4.4254953 51.9359689, 4.4255688 51.9358957)",,,,,,,1252180028,678398820,0,False,
2e Hogenbanweg,754683908,tertiary,True,40.114,,"LINESTRING (4.4254953 51.9359689, 4.4250154 51.9357625)",50,,,,,,1252180028,678398822,0,False,
Van Goijenstraat,7532333,residential,False,56.995,,"LINESTRING (4.4254953 51.9359689, 4.4254343 51.9360296, 4.42512 51.9363307, 4.425043 51.9363989)",30,,,,,,1252180028,44483428,0,False,
"['Lepelaarsingel', 'Roerdomplaan']","[7516248, 7516126]",residential,True,252.057,,"LINESTRING (4.4753405 51.8857266, 4.4751792 51.8840961, 4.4741548 51.8841307)",30,,,,,,44236862,44228498,0,True,
Wielewaalstraat,7516525,residential,False,60.266999999999996,,"LINESTRING (4.4753405 51.8857266, 4.4752121 51.8857329, 4.4748185 51.8857519, 4.4744651 51.8857692)",30,,,,,,44236862,44237475,0,False,
Carnissesingel,108443565,residential,False,33.558,,"LINESTRING (4.4753405 51.8857266, 4.4755562 51.8857204, 4.4758292 51.8857226)",30,,,,,,44236862,44236864,0,False,
Bertus Bulstraat,7328355,residential,False,63.851,,"LINESTRING (4.5226058 51.8980579, 4.5234775 51.8978569)",,,,,,,648839231,771764265,0,False,
Jan Pettersonstraat,145989870,residential,False,104.978,,"LINESTRING (4.5226058 51.8980579, 4.5217455 51.8972772)",,,,,,,648839231,546640601,0,False,
Bertus Bulstraat,7328355,residential,False,66.873,,"LINESTRING (4.5226058 51.8980579, 4.5220649 51.8981863, 4.5216962 51.8982739)",,,,,,,648839231,44300274,0,False,
Carnissesingel,7516514,residential,False,35.33,,"LINESTRING (4.4758292 51.8857226, 4.4760335 51.8857413, 4.4763384 51.8857692)",30,,,,,,44236864,44237484,0,False,
Carnissesingel,108443565,residential,False,33.558,,"LINESTRING (4.4758292 51.8857226, 4.4755562 51.8857204, 4.4753405 51.8857266)",30,,,,,,44236864,44236862,0,False,
Smalleweer,7330550,residential,False,59.49,,"LINESTRING (4.5111766 51.8856568, 4.5117734 51.8860448)",30,,,,,,44236873,44238832,0,False,
Boogjes,7330387,residential,True,76.76,,"LINESTRING (4.5111766 51.8856568, 4.5114099 51.8855062, 4.5116608 51.8850498)",30,,,,,,44236873,44233722,0,False,
Groenezoom,7330181,tertiary,False,7.445,,"LINESTRING (4.5161702 51.8856957, 4.5162773 51.8857063)",50,,,,,,44236875,44236876,0,False,
Groenezoom,7330181,tertiary,False,55.653,,"LINESTRING (4.5161702 51.8856957, 4.5153721 51.8856072)",50,,,,,,44236875,44236390,0,False,
Olmendaal,7330541,residential,True,172.583,,"LINESTRING (4.5161702 51.8856957, 4.5157227 51.887223)",30,,,,,,44236875,44245400,0,False,
Groenezoom,7330181,tertiary,False,48.718,,"LINESTRING (4.5162773 51.8857063, 4.5169762 51.8857829)",50,,,,,,44236876,44237517,0,False,
Groenezoom,7330181,tertiary,False,7.445,,"LINESTRING (4.5162773 51.8857063, 4.5161702 51.8856957)",50,,,,,,44236876,44236875,0,False,
Scherpendrechtsekade,"[7526403, 7526430]",unclassified,False,315.534,,"LINESTRING (4.4597886 51.9393799, 4.4585389 51.9392183, 4.4582 51.9401, 4.4577964 51.9411274, 4.4576926 51.9411867)",30,,,,,,44499019,670388780,0,False,
Krabbekreek,7326438,residential,False,89.715,,"LINESTRING (4.5318366 51.8856701, 4.5306969 51.885275)",30,,,,,,44236878,44234818,0,False,
"['Biezenkreek', 'Baarschootsekreek', 'Akselsekreek']","[7329917, 7330116, 7326437, 7326591]",residential,False,232.095,,"LINESTRING (4.5318366 51.8856701, 4.5316158 51.8859039, 4.5313692 51.8861753, 4.5313229 51.8862286, 4.5308108 51.8860551, 4.5301876 51.8858325, 4.5306709 51.8853035, 4.5306969 51.885275)",30,,,,,,44236878,44234818,1,True,
Baarschootsekreek,7326591,residential,False,75.78399999999999,,"LINESTRING (4.5318366 51.8856701, 4.5320634 51.8854171, 4.5323802 51.8850769)",30,,,,,,44236878,44233727,0,False,
Grote Kreek,77260492,tertiary,False,37.41,,"LINESTRING (4.5352603 51.8856933, 4.5350147 51.8858671, 4.5349907 51.8858801, 4.5349045 51.8859478)",50,,,,,,44236880,44238838,0,False,
Grote Kreek,77260492,tertiary,False,173.694,,"LINESTRING (4.5352603 51.8856933, 4.5355929 51.8854635, 4.5359828 51.8851992, 4.536282 51.8849963, 4.53696 51.884536)",50,,,,,,44236880,44231105,0,False,
Spuikreek,174676816,residential,False,83.813,,"LINESTRING (4.5352603 51.8856933, 4.5353293 51.8857303, 4.5355526 51.8858536, 4.535907 51.8858667, 4.5362567 51.8858797, 4.5363811 51.8858859)",30,,,,,,44236880,44238124,0,False,
Gordelweg,7526356,residential,True,15.212,,"LINESTRING (4.4647227 51.9379342, 4.4648141 51.9379506, 4.4648542 51.9379655, 4.4649233 51.9379902)",30,,,,,,533987416,44491662,0,False,
Gordelweg,"[725115016, 386756911]",secondary,True,24.326,,"LINESTRING (4.4647227 51.9379342, 4.464745 51.937949, 4.4647575 51.9379592, 4.464771 51.9379709, 4.4647851 51.9379843, 4.4648026 51.9380016, 4.4648139 51.9380102, 4.4648313 51.9380202, 4.4649219 51.9380616, 4.4649607 51.9380934)",50,1,,,,,533987416,44492200,0,False,
Korfmakersstraat,52698890,residential,True,160.895,,"LINESTRING (4.4380869 51.9137326, 4.4384336 51.91401, 4.4400108 51.9145162)",,,,,,,44367961,44372034,0,False,
Rösener Manzstraat,52703965,residential,False,75.456,,"LINESTRING (4.4380869 51.9137326, 4.4375995 51.9138724, 4.4373552 51.9140034, 4.4371475 51.9140762)",,,,,,,44367961,668953034,0,False,
Rösener Manzstraat,63746644,residential,False,103.104,,"LINESTRING (4.4380869 51.9137326, 4.4387278 51.9135635, 4.439469 51.913368)",,,,,,,44367961,44366369,0,False,
Aelbrechtskade,521805645,tertiary,False,177.71800000000002,,"LINESTRING (4.446705 51.9136504, 4.446399 51.9140691, 4.4457888 51.9150368, 4.4457288 51.9151304)",50,,,,,,44367962,44375410,0,False,
Aelbrechtskade,521805645,tertiary,False,63.232000000000006,,"LINESTRING (4.446705 51.9136504, 4.4467339 51.9136158, 4.447102 51.9131372)",50,,,,,,44367962,632386758,0,False,
Volmarijnstraat,7515431,residential,True,242.017,,"LINESTRING (4.4599563 51.9137211, 4.4600455 51.9137331, 4.4623688 51.9140741, 4.4633861 51.914232)",30,,,,,,44367965,44370425,0,False,
Claes de Vrieselaan,128992949,residential,False,16.415,,"LINESTRING (4.4599563 51.9137211, 4.4599344 51.9137157, 4.4597511 51.9136711, 4.4597337 51.9136669)",,,,,,,44367965,44367404,0,False,
Claes de Vrieselaan,338856485,residential,True,75.05399999999999,,"LINESTRING (4.4599563 51.9137211, 4.4598383 51.9141936, 4.4598354 51.9142114, 4.4598254 51.9142717, 4.4598072 51.9143673, 4.4598 51.914389)",50,,,,,,44367965,6486507702,0,False,
Groeninx van Zoelenlaan,7326425,secondary,False,4.804,,"LINESTRING (4.5474934 51.8856778, 4.547563 51.8856732)",50,,S105,,,,44236897,1433932968,0,False,
Groeninx van Zoelenlaan,7326425,secondary,False,10.171,,"LINESTRING (4.5474934 51.8856778, 4.5473456 51.8856845)",50,,S105,,,,44236897,6632266777,0,False,
,7326094,unclassified,True,38.483000000000004,,"LINESTRING (4.5474934 51.8856778, 4.547506 51.8858806, 4.54747 51.886022)",,,,,,,44236897,44239526,0,False,
Schiedamse Vest,7515100,residential,False,136.41,,"LINESTRING (4.4796377 51.9137397, 4.4796824 51.9140652, 4.4797293 51.9144288, 4.4797538 51.9146102, 4.4797889 51.9148768, 4.4797968 51.9149625)",,,,,,,44367972,44374214,0,False,
Schiedamse Vest,7515100,residential,False,32.559,,"LINESTRING (4.4796377 51.9137397, 4.4796179 51.9135507, 4.4796071 51.9134475)",,,,,,,44367972,44366381,0,False,
Pierre Baylestraat,851767386,residential,False,63.394999999999996,,"LINESTRING (4.4796377 51.9137397, 4.4797345 51.913726, 4.4805384 51.9136118)",,,,,,,44367972,44366884,0,False,
Cornelis Trompstraat,7513721,residential,False,65.335,,"LINESTRING (4.4936604 51.9137514, 4.4942975 51.9133146)",30,2,,,,,44367974,44365410,0,False,
Maaskade,7513713,residential,False,147.8,,"LINESTRING (4.4936604 51.9137514, 4.4938736 51.9138777, 4.4945562 51.914284, 4.4952138 51.9146726)",50,2,,,,,44367974,44372567,0,False,
Maaskade,7513713,residential,False,136.77999999999997,,"LINESTRING (4.4936604 51.9137514, 4.4932208 51.9134961, 4.4924267 51.913028, 4.4922375 51.912919, 4.4922134 51.912905)",50,2,,,,,44367974,44363874,0,False,
Bergweg,"[691266160, 635663971]",tertiary,True,28.538,,"LINESTRING (4.4749796 51.9345976, 4.4749005 51.9345604, 4.474809 51.9345102, 4.4747649 51.9344835, 4.4746703 51.9344263)",50,1,,,,,6486327402,2725777383,0,False,
Bergweg,691266163,tertiary,False,35.815,,"LINESTRING (4.4749796 51.9345976, 4.4751503 51.9347156, 4.4752503 51.9347936, 4.4753157 51.934844)",50,,,,,,6486327402,6486327413,0,False,
Mathenesserlaan,130524325,residential,False,53.585,,"LINESTRING (4.4467708 51.9158671, 4.4468987 51.9153917)",,,,,,,1437302891,44376848,0,False,
,"[565099874, 7312134]",residential,False,10.423,yes,"LINESTRING (4.5588341 51.9239331, 4.5588415 51.9238865, 4.5588488 51.9238398)",,,,,,,911278189,44416565,0,False,
,"[243125682, 29378090]",motorway_link,True,685.4310000000002,yes,"LINESTRING (4.4391963 51.8686937, 4.4384505 51.8688461, 4.4350937 51.8696589, 4.4333973 51.8700871, 4.4330087 51.8701879, 4.4327635 51.8702536, 4.4325184 51.8703209, 4.4321337 51.8704338, 4.4314993 51.8706276, 4.431092 51.8707547, 4.4308956 51.8708176, 4.4306886 51.8708764, 4.4305523 51.8709127, 4.4303337 51.8709661, 4.4299799 51.8710511)","['80', '100']","['3', '1']",A15,,,,2603401325,2511182520,0,False,
,254535201,motorway,True,290.304,,"LINESTRING (4.4391963 51.8686937, 4.4385797 51.8688644, 4.4379895 51.8690183, 4.4363455 51.8694378, 4.4353155 51.8697292)",100,1,A15,,,,2603401325,44158213,0,False,
Bergweg,516990127,residential,False,62.988,,"LINESTRING (4.4760059 51.9353835, 4.4760189 51.9353783, 4.4761869 51.9353204, 4.4763775 51.9352605, 4.4768375 51.9351447)",,,,,,,6486327410,5046040070,0,False,
Bergweg,691266172,tertiary,False,47.588,,"LINESTRING (4.4760059 51.9353835, 4.476314 51.9356287, 4.4764274 51.9357235)",50,,,,,,6486327410,6486287284,0,False,
Bergweg,"[691266172, 691266166, 691266167]",tertiary,False,76.418,,"LINESTRING (4.4760059 51.9353835, 4.4758735 51.9352851, 4.4758538 51.9352704, 4.475757 51.9351985, 4.4757253 51.9351731, 4.4753157 51.934844)",50,,,,,,6486327410,6486327413,0,False,
Bergweg,691266163,tertiary,False,35.815,,"LINESTRING (4.4753157 51.934844, 4.4752503 51.9347936, 4.4751503 51.9347156, 4.4749796 51.9345976)",50,,,,,,6486327413,6486327402,0,False,
Bergweg,"[691266172, 691266166, 691266167]",tertiary,False,76.418,,"LINESTRING (4.4753157 51.934844, 4.4757253 51.9351731, 4.475757 51.9351985, 4.4758538 51.9352704, 4.4758735 51.9352851, 4.4760059 51.9353835)",50,,,,,,6486327413,6486327410,0,False,
Groene Hilledijk,7512309,tertiary,True,11.224,,"LINESTRING (4.5041167 51.8824977, 4.5039972 51.8824288)",50,,,,,,44220534,44220043,0,False,
Dordtsestraatweg,58660287,residential,True,30.825000000000003,,"LINESTRING (4.5041167 51.8824977, 4.5040255 51.8825319, 4.503745 51.8826531)",50,,,,,,44220534,726798962,0,False,
,7315755,unclassified,False,25.098,,"LINESTRING (4.5372797 51.939375, 4.5376355 51.9394282)",,,,,,,44499063,44499065,0,False,
"['Brigantijnstraat', 'Hoekersingel']","[7532004, 7532061]",residential,True,67.061,,"LINESTRING (4.4228302 51.918625, 4.4228316 51.9186571, 4.421906 51.9186673)",30,,,,,,6893420663,44391732,0,True,
Schoenerplaats,7532013,residential,False,45.146,,"LINESTRING (4.4228302 51.918625, 4.4233436 51.9186222, 4.4234869 51.9186352)",,,,,,,6893420663,44391735,0,False,
Adriaan Dortsmanstraat,7315735,unclassified,False,47.805,,"LINESTRING (4.5376355 51.9394282, 4.5374639 51.9398449)",,,,,,,44499065,44501104,0,False,
Adriaan Dortsmanstraat,7315735,unclassified,False,32.936,,"LINESTRING (4.5376355 51.9394282, 4.5377537 51.9391411)",,,,,,,44499065,44497618,0,False,
Vennecoolstraat,7315747,unclassified,False,64.802,,"LINESTRING (4.5376355 51.9394282, 4.538551 51.9395734)",,,,,,,44499065,44500084,0,False,
,7315755,unclassified,False,25.098,,"LINESTRING (4.5376355 51.9394282, 4.5372797 51.939375)",,,,,,,44499065,44499063,0,False,
Mathenesserlaan,691275424,tertiary,False,7.335,,"LINESTRING (4.4474492 51.9156239, 4.4473802 51.9156743)",50,,,,,,3465183364,3465133451,0,False,
Mathenesserlaan,691275424,tertiary,False,15.95,,"LINESTRING (4.4474492 51.9156239, 4.4476039 51.9155168)",50,,,,,,3465183364,6486442921,0,False,
Tannekestraat,7516723,residential,False,59.181,,"LINESTRING (4.4624669 51.8793671, 4.4632306 51.8794452, 4.4633183 51.8794404)",,,,,,,44204168,1703417343,0,False,
Tannekestraat,7516723,residential,False,62.763999999999996,,"LINESTRING (4.4624669 51.8793671, 4.4622208 51.8793396, 4.461566 51.8792707)",,,,,,,44204168,44203633,0,False,
Puntegaalstraat,"[380210289, 7515471]",secondary,True,152.294,,"LINESTRING (4.463593 51.9066249, 4.4635884 51.906632, 4.4635571 51.9066804, 4.4635353 51.9067121, 4.4627849 51.9078037, 4.4627777 51.9078168, 4.4627731 51.9078307, 4.4627707 51.9078417, 4.4627708 51.9078545, 4.4627719 51.9078677, 4.462778 51.907892)",50,,S114,,,,44335243,976471182,0,False,
Westzeedijk,691290131,secondary,True,26.394000000000002,,"LINESTRING (4.463593 51.9066249, 4.4635228 51.9066088, 4.4633663 51.9065739, 4.4632917 51.9065574, 4.4632323 51.9065424)",50,,S114,,,,44335243,44335291,0,False,
